GT\Pred,0:Powder,1:Printed,2:Recoater Hopping,3:Recoater Streaking,4:Incomplete Spreading,5:Swelling,6:Debris,7:Super-Elevation,8:Spatter,9:Misprint,10:Over Melting,11:Under Melting
0:Powder,14441889,142773,0,188687,15360,409,2,362,114595,2424,0,2163
1:Printed,261651,115601,0,3089,18,106,3,0,695701,654,0,1950
2:Recoater Hopping,1360957,16254,0,11947,718,75,0,0,10414,345,0,18
3:Recoater Streaking,5909,73,0,17397,111,0,0,0,1051,6,0,0
4:Incomplete Spreading,5019210,1244208,0,140060,3571,7034,528,694287,2175978,6857,648,117417
5:Swelling,203,6115,0,46,0,70,0,0,2168,17,10,49
6:Debris,7995,1185,0,19,0,43,11,46,3467,82,12,74
7:Super-Elevation,0,0,0,0,0,0,0,0,0,0,0,0
8:Spatter,0,0,0,0,0,0,0,0,0,0,0,0
9:Misprint,0,0,0,0,0,0,0,0,0,0,0,0
10:Over Melting,0,0,0,0,0,0,0,0,0,0,0,0
11:Under Melting,0,0,0,0,0,0,0,0,0,0,0,0
